food_id,food_name,alt_names,meal_type,category,calories,protein,carbs,fat,portion,source,has_pork,has_beef,has_chicken,has_seafood,has_fish,has_shellfish,has_egg,has_dairy,has_nuts,has_gluten,has_soy,is_vegetarian,is_vegan,is_high_protein,is_low_carb,is_low_fat,is_diabetic_friendly,dietary_tags
U001,White Rice,,base,Mixed Dishes & Prepared Foods,120,2,28,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
U002,Brown Rice,,base,Mixed Dishes & Prepared Foods,125,3,26,1,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
U003,Black Rice,,base,Mixed Dishes & Prepared Foods,113,3,23,1,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,vegan|no-meat
U004,Red Rice,,base,Mixed Dishes & Prepared Foods,109,2,23,1,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,vegan|no-meat
U005,Wild Rice,,base,Mixed Dishes & Prepared Foods,84,3,18,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,vegan|no-meat
U006,Basmati Rice,,base,Mixed Dishes & Prepared Foods,112,2,26,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
U007,Jasmine Rice,,base,Mixed Dishes & Prepared Foods,96,2,22,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,vegan|no-meat
B001,"Tapsilog (Tapa, Sinangag, Itlog)","Tapa, fried rice, egg meal",breakfast,Mixed Dishes & Prepared Foods,550,35,45,25,1 serving,Philippine Food Database,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,beef|egg
B002,"Longsilog (Longganisa, Sinangag, Itlog)","Longganisa, fried rice, egg meal",breakfast,Mixed Dishes & Prepared Foods,580,32,50,28,1 serving,Philippine Food Database,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,pork|egg
B003,"Tosilog (Tocino, Sinangag, Itlog)","Tocino, fried rice, egg meal",breakfast,Mixed Dishes & Prepared Foods,600,38,48,30,1 serving,Philippine Food Database,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,pork|egg
B004,"Bangsilog (Bangus, Sinangag, Itlog)","Milkfish, fried rice, egg meal",breakfast,Mixed Dishes & Prepared Foods,520,40,45,18,1 serving,Philippine Food Database,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,seafood|egg|pescatarian
B005,Silog (Sinangag at Itlog),Fried rice and egg base,breakfast,Mixed Dishes & Prepared Foods,350,12,45,15,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,egg|no-meat
B006,Beef Tapa with Rice,Tapa meal,breakfast,Mixed Dishes & Prepared Foods,480,32,48,18,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,beef
B007,Corned Beef with Rice,Cornsilog,breakfast,Mixed Dishes & Prepared Foods,420,22,48,18,1 serving,Philippine Food Database,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,beef|egg
B008,Spam with Rice,Spamsilog,breakfast,Mixed Dishes & Prepared Foods,480,20,52,22,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,egg|no-meat
B009,Hotdog with Rice,Hotsilog,breakfast,Mixed Dishes & Prepared Foods,420,15,55,16,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,egg|no-meat
B010,Tuyo with Rice,Dried fish with rice,breakfast,Mixed Dishes & Prepared Foods,320,22,42,8,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,seafood|pescatarian
B011,Danggit with Rice,Dried rabbitfish with rice,breakfast,Mixed Dishes & Prepared Foods,340,24,42,10,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,seafood|pescatarian
B012,Daing na Bangus,,breakfast,Mixed Dishes & Prepared Foods,210,30,0,10,1 serving,UlamCal,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,seafood|pescatarian
B013,Daing na Lamayo,,breakfast,Mixed Dishes & Prepared Foods,210,30,0,10,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no-meat
B014,Daing na Tulingan,,breakfast,Mixed Dishes & Prepared Foods,210,30,0,10,1 serving,UlamCal,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,seafood|pescatarian
B015,Champorado,,breakfast,Mixed Dishes & Prepared Foods,108,2,25,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no-meat
B016,Longganisa,,breakfast,Mixed Dishes & Prepared Foods,319,12,16,23,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
B017,Vegetable Fried Rice,Sinangag with vegetables,breakfast,Grains & Cereals,240,5,42,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,vegetarian|vegan|no-meat
B018,Lugaw (Plain),Rice porridge,breakfast,Grains & Cereals,180,4,38,2,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,vegetarian|vegan|no-meat
B019,Champorado,Chocolate rice porridge,breakfast,Grains & Cereals,280,6,58,3,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,vegetarian|vegan|no-meat
B020,Daing na Bangus,Marinated milkfish,breakfast,Fish & Seafood,250,32,2,12,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,seafood|pescatarian
B021,Beef Tapa,Cured beef strips,breakfast,Meat & Poultry,220,28,3,11,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,beef
B022,Chicken Tapa,Cured chicken strips,breakfast,Meat & Poultry,200,26,3,9,1 serving,Philippine Food Database,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,chicken
B023,Scrambled Egg with Tomato,Pritong itlog na may kamatis,breakfast,Eggs,180,14,6,12,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,egg|vegetarian|no-meat
B024,Cornsilog,"Corned beef, sinangag, itlog",breakfast,Mixed Dishes & Prepared Foods,520,28,52,22,1 serving,Philippine Food Database,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,beef|egg
B025,Spamsilog,"Spam, sinangag, itlog",breakfast,Mixed Dishes & Prepared Foods,560,24,55,28,1 serving,Philippine Food Database,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,pork|egg
B026,Sardinas with Rice,Canned sardines meal,breakfast,Fish & Seafood,380,22,48,12,1 serving,Philippine Food Database,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,seafood|pescatarian
B027,Pritong Itlog,Fried egg,breakfast,Eggs,140,12,1,10,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,egg|vegetarian|no-meat
B028,Vigan Longganisa,Ilocano sausage,breakfast,Meat & Poultry,320,16,12,24,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
B029,Sikwate,Hot chocolate tablea,breakfast,Beverages,180,4,28,7,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,vegetarian|no-meat
